year,artist.inverted,track,time,genre,date.entered,date.peaked,week_raw,rank,week
2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,x1st.week,78.0,1
2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,x1st.week,15.0,1
2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,x1st.week,71.0,1
2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,x1st.week,41.0,1
2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,x1st.week,57.0,1
2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,x1st.week,59.0,1
2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,x1st.week,83.0,1
2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,x1st.week,63.0,1
2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,x1st.week,77.0,1
2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,x1st.week,81.0,1
2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,x1st.week,82.0,1
2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,x1st.week,71.0,1
2000,Vertical Horizon,Everything You Want,4:01,Rock,2000-01-22,2000-07-15,x1st.week,70.0,1
2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,x1st.week,84.0,1
2000,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,x1st.week,59.0,1
2000,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,x1st.week,60.0,1
2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,x1st.week,82.0,1
2000,"Hill, Faith",Breathe,4:04,Rap,1999-11-06,2000-04-22,x1st.week,81.0,1
2000,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,2000-08-19,2000-12-02,x1st.week,72.0,1
2000,Dream,He Loves U Not,3:43,Rock,2000-09-30,2000-12-30,x1st.week,99.0,1
2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,x1st.week,63.0,1
2000,"Anthony, Marc",You Sang To Me,3:50,Latin,2000-02-26,2000-06-03,x1st.week,77.0,1
2000,98¡,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,x1st.week,51.0,1
2000,Destiny's Child,Jumpin' Jumpin',3:48,Rock,2000-05-13,2000-08-19,x1st.week,74.0,1
2000,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,x1st.week,81.0,1
2000,Sisqo,Thong Song,4:05,Rock,2000-01-29,2000-05-20,x1st.week,74.0,1
2000,"Aguilera, Christina",I Turn To You,4:00,Rock,2000-04-15,2000-07-01,x1st.week,50.0,1
2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,x1st.week,81.0,1
2000,Joe,I Wanna Know,4:57,Rock,2000-01-01,2000-07-01,x1st.week,94.0,1
2000,"Jordan, Montell",Get It On.. Tonite,4:34,Rap,1999-10-23,2000-02-12,x1st.week,92.0,1
2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,x1st.week,42.0,1
2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,x1st.week,70.0,1
2000,Pink,Most Girls,4:06,Rock,2000-08-12,2000-11-25,x1st.week,85.0,1
2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,x1st.week,85.0,1
2000,Blaque,Bring It All To Me,3:46,Pop,1999-10-23,2000-01-22,x1st.week,73.0,1
2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,x1st.week,36.0,1
2000,"Gray, Macy",I Try,3:52,Rock,2000-02-19,2000-05-20,x1st.week,68.0,1
2000,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,x1st.week,68.0,1
2000,Ruff Endz,No More,3:56,Rock,2000-07-01,2000-09-02,x1st.week,76.0,1
2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,2000-01-01,2000-03-18,x1st.week,74.0,1
2000,Nine Days,Absolutely (Story Of A Girl),3:09,Rock,2000-05-06,2000-07-22,x1st.week,85.0,1
2000,"Dion, Celine",That's The Way It Is,4:03,Rock,1999-11-13,2000-03-04,x1st.week,74.0,1
2000,Blink-182,All The Small Things,2:52,Rock,1999-12-04,2000-02-19,x1st.week,89.0,1
2000,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica,1999-12-11,2000-01-29,x1st.week,67.0,1
2000,"Badu, Erkyah",Bag Lady,5:03,Rock,2000-08-19,2000-10-07,x1st.week,67.0,1
2000,Pink,There U Go,3:23,Rock,2000-03-04,2000-04-08,x1st.week,25.0,1
2000,Creed,Higher,5:16,Rock,1999-09-11,2000-07-22,x1st.week,81.0,1
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x1st.week,100.0,1
2000,Next,Wifey,4:03,Rock,2000-05-27,2000-09-09,x1st.week,85.0,1
2000,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz,1999-12-25,2000-01-08,x1st.week,89.0,1
2000,Sonique,It Feels So Good,3:48,Rock,2000-01-22,2000-04-22,x1st.week,67.0,1
2000,"Spears, Britney",Oops!.. I Did It Again,3:30,Rock,2000-04-22,2000-06-10,x1st.week,67.0,1
2000,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock,2000-10-14,2000-12-02,x1st.week,39.0,1
2000,Everclear,Wonderful,4:30,Rock,2000-07-08,2000-09-30,x1st.week,77.0,1
2000,Ja Rule,Between Me And You,4:05,Rap,2000-09-16,2000-11-18,x1st.week,85.0,1
2000,"Rimes, LeAnn",I Need You,3:42,Country,2000-05-27,2000-08-12,x1st.week,77.0,1
2000,Smash Mouth,Then The Morning Comes,3:04,Rock,1999-10-30,2000-01-29,x1st.week,83.0,1
2000,Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,Rap,2000-10-28,2000-12-30,x1st.week,58.0,1
2000,Jagged Edge,Let's Get Married,4:23,Rock,2000-05-06,2000-07-29,x1st.week,77.0,1
2000,Filter,Take A Picture,4:23,Rock,1999-11-27,2000-02-05,x1st.week,91.0,1
2000,"Martin, Ricky",She Bangs,4:02,Latin,2000-10-07,2000-12-02,x1st.week,38.0,1
2000,Mystikal,Shake Ya Ass,4:46,Rap,2000-08-12,2000-10-28,x1st.week,97.0,1
2000,BBMak,Back Here,3:35,Rock,2000-04-29,2000-07-29,x1st.week,99.0,1
2000,"Spears, Britney",From The Bottom Of My Broken Heart,4:30,Rock,2000-01-29,2000-02-26,x1st.week,76.0,1
2000,Third Eye Blind,Never Let You Go,3:57,Rock,2000-01-22,2000-04-01,x1st.week,65.0,1
2000,Red Hot Chili Peppers,Otherside,4:13,Rock,2000-02-12,2000-05-27,x1st.week,80.0,1
2000,Profyle,Liar,3:57,R&B,2000-09-16,2000-10-28,x1st.week,52.0,1
2000,Barenaked Ladies,Pinch Me,3:46,Rock,2000-09-09,2000-11-25,x1st.week,77.0,1
2000,Jagged Edge,He Can't Love U,3:30,Rock,1999-12-11,2000-01-08,x1st.week,54.0,1
2000,504 Boyz,Wobble Wobble,3:35,Rap,2000-04-15,2000-05-06,x1st.week,57.0,1
2000,Sting,Desert Rose,3:52,Rock,2000-05-13,2000-08-26,x1st.week,98.0,1
2000,Jay-Z,Big Pimpin',3:55,Rap,2000-04-22,2000-07-08,x1st.week,69.0,1
2000,Kid Rock,Only God Knows Why,5:27,Rock,2000-02-19,2000-04-15,x1st.week,63.0,1
2000,Foo Fighters,Learn To Fly,3:55,Rock,1999-10-16,2000-01-22,x1st.week,80.0,1
2000,"Dixie Chicks, The",Goodbye Earl,4:19,Country,2000-03-18,2000-05-06,x1st.week,40.0,1
2000,Guy,Dancin',4:08,R&B,1999-12-18,2000-01-01,x1st.week,46.0,1
2000,Lil Bow Wow,Bounce With Me,3:22,Rap,2000-08-19,2000-09-16,x1st.week,48.0,1
2000,Westlife,Swear It Again,4:07,Rock,2000-04-01,2000-07-01,x1st.week,96.0,1
2000,Train,Meet Virginia,3:55,Rock,1999-10-09,2000-01-22,x1st.week,76.0,1
2000,"Thomas, Carl",I Wish,3:50,Rock,2000-03-25,2000-05-13,x1st.week,75.0,1
2000,Hanson,This Time Around,4:14,Country,2000-04-22,2000-05-06,x1st.week,22.0,1
2000,"Simpson, Jessica",I Think I'm In Love With You,3:32,Pop,2000-07-01,2000-08-12,x1st.week,63.0,1
2000,Ludacris,What's Your Fantasy,4:16,Rap,2000-09-30,2000-12-16,x1st.week,89.0,1
2000,Lil' Zane,Callin' Me,3:43,Rap,2000-07-29,2000-09-02,x1st.week,83.0,1
2000,M2M,Don't Say You Love Me,3:41,Pop,1999-11-20,2000-01-08,x1st.week,72.0,1
2000,SoulDecision,Faded,3:25,Rock,2000-07-08,2000-09-09,x1st.week,94.0,1
2000,"Brock, Chad",Yes!,3:22,Country,2000-04-08,2000-07-01,x1st.week,90.0,1
2000,"Martin, Ricky",Shake Your Bon-Bon,3:08,Latin,1999-11-20,2000-02-12,x1st.week,74.0,1
2000,Vertical Horizon,You're A God,3:45,Rock,2000-08-26,2000-11-04,x1st.week,64.0,1
2000,Avant,Separated,4:13,Rock,2000-04-29,2000-05-20,x1st.week,62.0,1
2000,"Rimes, LeAnn",Big Deal,3:03,Country,1999-10-16,2000-01-01,x1st.week,71.0,1
2000,IMx,Stay The Night,3:37,Rap,1999-10-09,2000-01-08,x1st.week,84.0,1
2000,Dr. Dre,The Next Episode,2:38,Rap,2000-05-27,2000-07-29,x1st.week,78.0,1
2000,"Spears, Britney",Lucky,3:23,Rock,2000-08-12,2000-09-09,x1st.week,61.0,1
2000,Savage Garden,Crash And Burn,4:41,Rock,2000-04-08,2000-05-27,x1st.week,75.0,1
2000,Kandi,Don't Think I'm Not,3:50,Rock,2000-08-05,2000-10-07,x1st.week,66.0,1
2000,Sammie,I Like It,4:09,Rock,2000-01-29,2000-04-15,x1st.week,85.0,1
2000,Goo Goo Dolls,Broadway,3:54,Rock,2000-04-22,2000-07-01,x1st.week,74.0,1
